tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,001,200293,1,,Martina Navratilova,L,173,USA,29.6016427105,1,,200725,,,Sandra Cecchini,U,,ITA,21.2402464066,43,,6-3 6-3,3,R128
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,002,200450,,,Larisa Savchenko,U,,URS,19.8466803559,63,,200384,,,Eva Pfaff,U,,GER,25.28678987,41,,6-4 3-6 9-7,3,R128
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,003,200480,,,Claudia Porwik,U,,GER,17.5277207392,121,,200449,,,Petra Keppeler,U,,GER,21.1772758385,,,6-2 6-4,3,R128
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,004,200641,,Q,Patricia Tarabini,R,,ARG,17.8015058179,184,,200366,,,Sylvia Hanika,U,,GER,26.4859685147,39,,3-6 6-3 6-4,3,R128
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,005,200412,,,Vicki Nelson Dunbar,U,,USA,23.665982204,,,200416,,,Robin White,U,,USA,22.4585900068,23,,6-2 6-3,3,R128
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,006,201021,,,Laura Garrone,U,,ITA,18.5270362765,55,,200436,,,Carina Karlsson,U,,SWE,22.7049965777,,,6-2 6-1,3,R128
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,007,200021,,,Alexia Dechaume Balleret,R,,FRA,16.0629705681,363,,200443,,,Sara Gomer,U,,GBR,22.0342231348,96,,6-2 6-3,3,R128
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,008,200404,10,,Zina Garrison,U,,USA,22.5242984257,12,,201027,,,Gabriela Dinu,U,,FRG,26.1081451061,,,6-2 6-3,3,R128
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,009,200453,12,,Catarina Lindqvist Ryan,U,,SWE,22.9514031485,18,,201015,,,Grace Kim,U,,USA,18.1081451061,,,6-2 6-1,3,R128
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,010,200587,,Q,Silke Meier,U,,GER,17.8672142368,149,,200621,,,Isabelle Demongeot,U,,FRA,19.6851471595,116,,0-6 6-3 6-4,3,R128
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,011,200465,,,Lisa Bonder Kreiss,R,,USA,20.6078028747,37,,200481,,,Elna Reinach,U,,RSA,17.4784394251,112,,6-4 6-4,3,R128
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,012,201017,,,Angelika Kanellopoulou,R,,GRE,20.4353182752,,,200962,,,Patricia Medrado,U,,BRA,29.4948665298,,,6-7(4) 6-4 6-0,3,R128
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,013,200673,,,Susan Sloane Lundy,R,,USA,15.4715947981,113,,201030,,Q,Mariana Perez Roldan,U,,ARG,18.6338124572,,,7-6(2) 2-6 7-5,3,R128
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,014,200357,,,Rosalyn Nideffer,R,,USA,25.5605749487,34,,200386,,,Corinne Vanier,U,,FRA,22.6803559206,,,6-3 7-5,3,R128
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,015,200444,,,Elise Burgin,U,,USA,24.2245037645,30,,200430,,LL,Marcela Skuherska,U,,TCH,25.2758384668,,,6-1 6-1,3,R128
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,016,200419,7,,Kathy Rinaldi Stunkel,U,,USA,19.1731690623,7,,200468,,,Hu Na,U,,USA,23.1101984942,94,,6-1 6-3,3,R128
1986-W-SL-FRA-01A-1986,French Open,Clay,128,G,19860526,017,200354,4,,Claudia Kohde Kilsch,R,,GER,22.4558521561,4,,200428,,,Lori Mcneil,U,,USA,22.4366872005,76,,6-4 6-1,3,R128
