tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,001,200128,1,,Lindsay Davenport,R,189,USA,29.607118412,1,3331,201348,,WC,Casey Dellacqua,L,,AUS,20.9281314168,180,145,6-2 6-1,3,R128,,3,3,49,23,19,17,,3,3,1,7,57,27,15,12,,6,10
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,002,201368,,,Karolina Sprem,R,174,CRO,21.2265571526,66,380,201416,,,Alona Bondarenko,R,168,UKR,21.4264202601,82,311,6-4 6-2,3,R128,,3,3,75,36,24,22,,6,7,0,3,61,35,22,10,,4,8
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,003,201448,,,Galina Voskoboeva,R,183,KAZ,21.0787132101,105,253,200022,,,Emmanuelle Gagliardi,R,,SUI,29.5222450376,83,309,6-4 6-3,3,R128,,3,1,59,30,22,17,,3,5,1,2,57,37,26,4,,5,9
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,004,201373,25,,Maria Kirilenko,R,173,RUS,18.9760438056,25,766,201407,,,Evgenia Linetskaya,R,,ISR,19.1293634497,62,391,6-1 3-1 RET,3,R128,,3,3,34,21,11,6,,4,6,0,8,35,12,2,7,,2,8
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,005,201379,,,Mara Santangelo,R,181,ITA,24.553045859,73,335,201364,24,,Tatiana Golovin,R,175,FRA,17.9767282683,24,794,6-4 4-6 6-4,3,R128,,3,5,86,53,35,14,,6,12,2,1,99,67,37,15,,4,11
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,006,200011,,,Katarina Srebotnik,R,180,SLO,24.848733744,35,581,200773,,,Stephanie Foretz Gacon,R,166,FRA,24.7063655031,87,300,6-4 6-3,3,R128,,4,3,63,34,25,14,,2,3,3,5,59,35,23,10,,2,6
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,007,201367,,,Arantxa Parra Santonja,R,,ESP,23.1868583162,102,255,200063,,,Tatiana Panova,R,,RUS,29.4264202601,112,232,4-6 7-5 6-1,3,R128,,5,5,104,54,37,23,,7,12,1,11,98,55,31,18,,8,15
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,008,201320,14,,Svetlana Kuznetsova,R,174,RUS,20.5557837098,11,1260,201449,,WC,Lauren Breadmore,U,,AUS,22.6283367556,254,96,6-1 6-3,3,R128,,4,0,41,28,23,10,,0,0,2,4,49,18,11,13,,2,6
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,009,201450,,,Tsvetana Pironkova,R,180,BUL,18.3436002738,94,283,200748,10,,Venus Williams,R,185,USA,25.582477755,10,1724,2-6 6-0 9-7,3,R128,,0,1,102,78,42,13,,6,12,1,4,93,62,38,9,,4,12
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,010,201281,,,Laura Granville,R,175,USA,24.681724846,57,424,201451,,Q,Kathrin Woerle,R,,GER,21.9110198494,169,154,5-7 6-2 6-0,3,R128,,2,1,97,70,46,12,,4,7,1,3,73,44,18,16,,3,10
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,012,200048,18,,Elena Likhovtseva,R,,RUS,30.3572895277,18,1006,200020,,,Lisa Raymond,R,165,USA,32.4353182752,70,352,7-6(4) 7-6(5),3,R128,,4,6,82,55,37,15,,4,6,3,2,99,68,41,17,,6,8
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,013,200751,,,Conchita Martinez Granados,R,,ESP,29.9904175222,106,250,200085,26,,Ai Sugiyama,R,163,JPN,30.5352498289,27,690,6-4 6-3,3,R128,,0,0,67,46,28,10,,4,7,1,6,61,38,22,8,,3,8
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,014,200043,,,Virginie Razzano,R,173,FRA,22.6830937714,54,429,200120,,WC,Jelena Dokic,R,175,AUS,22.765229295,370,51,3-6 7-6(6) 6-1,3,R128,,2,2,107,69,37,26,,6,10,1,11,98,58,39,17,,7,11
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,015,201453,,,Hana Sromova,U,,CZE,27.7700205339,92,286,201352,,,Akiko Morigami,R,,JPN,26.0123203285,45,477,3-0 RET,3,R128,,1,1,14,7,6,3,,2,2,0,0,6,2,0,2,,1,2
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,016,200003,8,,Justine Henin,R,167,BEL,23.627652293,6,2086,201417,,,Marta Domachowska,R,176,POL,20.0,60,414,6-2 6-1,3,R128,,3,4,60,36,25,15,,3,3,0,1,45,22,11,11,,2,6
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,017,201345,4,,Maria Sharapova,R,,RUS,18.7460643395,4,2780,200746,,,Sandra Kloesel,R,,GER,26.5708418891,91,288,6-2 6-1,3,R128,,2,1,42,21,18,16,,1,1,0,2,45,31,18,4,,2,6
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,018,201315,,Q,Ashley Harkleroad,R,,USA,20.7091033539,107,250,201397,,,Shuai Peng,R,173,CHN,20.0219028063,53,432,6-4 6-1,3,R128,,2,1,45,29,25,9,,2,2,0,8,59,28,19,12,,3,7
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,020,201334,,,Zuzana Ondraskova,R,,CZE,25.7056810404,79,321,201286,28,,Anabel Medina Garrigues,R,169,ESP,23.4633812457,26,745,6-3 6-4,3,R128,,1,3,66,35,23,11,,1,5,0,0,62,37,18,11,,4,10
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,021,201290,17,,Daniela Hantuchova,R,181,SVK,22.7351129363,17,1081,201323,,,Saori Obata,L,,JPN,27.7344284736,101,256,3-6 6-3 6-0,3,R128,,5,1,82,45,25,22,,7,11,4,4,84,54,28,12,,7,14
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,022,201454,,WC,Akgul Amanmuradova,R,,UZB,21.5660506502,185,139,200720,,,Dally Randriantefy,R,,MAD,28.8952772074,68,374,6-3 2-6 6-1,3,R128,,8,3,71,47,35,9,,2,5,2,5,66,47,30,7,,4,9
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,023,201301,,,Camille Pin,U,162,FRA,24.3942505133,130,203,200055,,,Mariana Diaz Oliva,R,,ARG,29.8507871321,50,459,2-6 7-5 6-4,3,R128,,0,4,118,88,51,11,,3,9,3,0,109,76,46,13,,9,15
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,024,200033,13,,Serena Williams,R,175,USA,24.3066392882,15,1175,201419,,,Na Li,R,172,CHN,23.8877481177,52,439,6-3 6-7(1) 6-2,3,R128,,8,5,109,57,46,21,,11,14,2,6,90,64,40,10,,5,11
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,026,201455,,,Elena Vesnina,R,176,RUS,19.4606433949,100,256,201418,,Q,Ting Li,R,,CHN,26.0314852841,195,132,6-2 6-3,3,R128,,2,3,54,33,23,13,,1,2,1,5,61,42,26,5,,7,11
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,027,201456,,Q,Olga Savchuk,R,175,UKR,18.3244353183,188,137,200014,,Q,Tzipi Obziler,R,,ISR,32.7446954141,116,227,6-1 3-6 6-4,3,R128,,2,7,122,63,40,29,,15,18,1,3,79,43,29,16,,7,12
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,032,200069,6,,Nadia Petrova,R,178,RUS,23.6084873374,7,1936,201388,,WC,Sophie Ferguson,R,,AUS,19.8302532512,222,111,6-2 6-1,3,R128,,5,2,37,19,17,13,,0,1,0,2,44,29,10,6,,4,9
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,033,200067,7,,Patty Schnyder,L,168,SUI,27.0910335387,8,1900,201305,,,Eleni Daniilidou,R,182,GRE,23.3264887064,99,257,6-4 6-3,3,R128,,6,2,73,46,32,14,,8,9,0,3,51,39,24,5,,4,7
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,034,201085,,,Shinobu Asagoe,R,,JPN,29.5523613963,39,542,201424,,,Shahar Peer,R,170,ISR,18.71321013,41,510,3-6 6-1 6-4,3,R128,,1,4,89,54,34,14,,8,14,0,10,72,45,20,12,,3,11
