tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,001,200881,,,Edith Winkens,U,,FRG,,,,203688,,,Stephanie Bardsley,U,,CAN,,,,6-1 6-4,3,Q1
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,002,200188,,,Helen Amos,U,,AUS,,,,203685,,,Jacqueline Le Boubennec,U,,FRA,,,,6-1 6-8 6-2,3,Q1
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,003,200869,,,Maria Eugenia Guzman,U,,ECU,,,,203689,,,Jacqueline Berson,U,,FRA,,,,6-2 6-1,3,Q1
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,004,200834,,,Suzana Gesteira,U,,BRA,,,,200809,,,Johanne Venturino,U,,FRA,,,,6-1 6-4,3,Q1
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,005,203691,,,Anne Marie Cassaigne,U,,FRA,,,,203690,,,Leonora Peralta,U,,POR,,,,6-2 6-2,3,Q1
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,006,200787,,,Fiorella Bonicelli,U,,URU,,,,200238,,,Nathalie Fuchs,U,,FRA,,,,6-2 6-0,3,Q1
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,007,200781,,,Edda Buding,U,,FRG,,,,200217,,,Adrienne Avis,U,,AUS,,,,6-4 5-7 6-2,3,Q1
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,008,200786,,,Claudine Rouire,U,,FRA,,,,200191,,,Frances Luff,U,,AUS,,,,6-1 6-0,3,Q1
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,009,200283,,,Pam Teeguarden,U,,USA,,,,200778,,,Irene Fraisse,U,,FRA,,,,6-4 6-3,3,Q1
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,010,200873,,,Ana Maria Arias,U,,CHI,,,,203686,,,Michele Mizen,U,,FRA,,,,5-7 15-13 6-1,3,Q2
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,011,200872,,,Nicole Bimes,U,,FRA,,,,203687,,,Rita Felix,U,,SUI,,,,W/O,3,Q2
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,012,200853,,,Anne Marie Rouchon,U,,FRA,,,,200811,,,Junko Sawamatsu,U,,JPN,,,,9-7 6-4,3,Q2
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,013,200881,,,Edith Winkens,U,,FRG,,,,200830,,,Chantal Langanay,U,,FRA,,,,6-2 6-3,3,Q2
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,014,200188,,,Helen Amos,U,,AUS,,,,200869,,,Maria Eugenia Guzman,U,,ECU,,,,3-6 6-4 6-2,3,Q2
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,015,200834,,,Suzana Gesteira,U,,BRA,,,,203691,,,Anne Marie Cassaigne,U,,FRA,,,,6-0 6-1,3,Q2
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,016,200832,,,Daniele Bouteleux,U,,FRA,,,,200946,,,Sylvie Rual,U,,FRA,,,,6-1 6-2,3,Q2
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,017,200787,,,Fiorella Bonicelli,U,,URU,,,,200805,,,Aline Nenot,U,,FRA,,,,6-2 7-5,3,Q2
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,018,200781,,,Edda Buding,U,,FRG,,,,200819,,,Nicole Niox Chateau,U,,FRA,,,,8-6 6-3,3,Q2
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,019,200162,,,Judith Salome,U,,NED,,,,200825,,,Maylis Burel,U,,FRA,,,,6-4 6-3,3,Q2
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,020,200786,,,Claudine Rouire,U,,FRA,,,,201130,,,Chikako Murakami,U,,JPN,,,,6-3 6-2,3,Q2
