tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,1,200543,,,Jill Hetherington,U,,CAN,27.2114989733,200442,1,,Andrea Temesvari,R,,HUN,25.7166324435,6-1 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,247,3,118,10
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,2,200019,,,Alexandra Fusai,R,,FRA,18.1409993155,203650,,,Janine Humphreys,U,,RSA,20.5366187543,6-1 6-2,3,Q1,,,,,,,,,,,,,,,,,,,,194,5,310,2
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,3,200654,,,Patty Oreilly,U,,USA,23.9863107461,200029,,WC,Lisa Mcshea,R,,AUS,17.2073921971,6-3 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,317,2,531,0
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,4,200004,,,Kerry Anne Guse,R,,AUS,19.1074606434,202187,9,,Ilana Berger,U,,ISR,26.0342231348,6-3 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,251,3,162,6
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,5,200512,,,Clare Thompson,U,,AUS,28.5941136208,201725,14,,Zdenka Malkova,U,,CZE,16.9828884326,7-6(4) 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,325,2,177,6
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,6,200619,,WC,Kate Mcdonald,U,,AUS,21.8151950719,201726,,,Rachel Ann Jensen,U,,USA,19.1485284052,7-6(0) 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,,,262,3
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,7,200639,,,Claudine Toleafoa,U,,NZL,21.8726899384,200684,,,Shi Ting Wang,R,,TPE,18.2340862423,0-6 6-0 6-1,3,Q1,,,,,,,,,,,,,,,,,,,,223,4,184,5
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,8,200658,7,,Fang Li,R,,CHN,19.0308008214,203651,,WC,Shareen Bottrell,U,,AUS,17.8425735797,6-0 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,153,7,689,0
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,9,200535,,,Jo Anne Faull,U,,AUS,20.9993155373,200680,4,,Nadin Ercegovic,U,,CRO,18.9431895962,7-5 5-7 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,196,5,148,7
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,10,200635,,,Ingelise Driehuis,U,,NED,24.3230663929,200538,,,Akemi Nishiya,R,,JPN,26.841889117,6-4 2-6 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,275,3,296,2
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,11,200679,,,Caroline Kuhlman,U,,USA,25.3853524983,200611,,,Tracey Morton Rodgers,U,,AUS,24.0711841205,4-6 6-2 17-15,3,Q1,,,,,,,,,,,,,,,,,,,,199,5,338,2
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,12,200663,11,,Nanne Dahlman,U,,FIN,21.3497604381,200479,,,Emiko Okagawa,U,,JPN,27.0472279261,6-2 2-6 6-0,3,Q1,,,,,,,,,,,,,,,,,,,,168,6,,
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,13,200403,15,,Andrea Leand,U,,USA,27.9863107461,202249,,,Terri Oreilly,U,,USA,23.9863107461,4-6 6-2 6-2,3,Q1,,,,,,,,,,,,,,,,,,,,179,5,294,2
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,14,200695,,,Tina Krizan,R,,SLO,17.8234086242,200636,,WC,Danielle Jones,U,,AUS,22.8610540726,6-4 6-1,3,Q1,,,,,,,,,,,,,,,,,,,,359,1,448,1
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,15,200013,,,Angelica Gavaldon,R,,MEX,18.2778918549,200637,,,Catherine Barclay,U,,AUS,18.5872689938,6-3 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,243,3,408,1
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,16,200690,,,Kyoko Nagatsuka,U,,JPN,17.8891170431,200464,5,,Ann Henricksson,U,,USA,32.2026009582,7-6(3) 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,308,2,136,8
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,G,19920113,17,200638,8,,Stephanie Rottier,U,,NED,17.9739904175,203643,,,Hana Adamkova Guy,U,,NZL,22.598220397,5-7 7-6(4) 6-0,3,Q1,,,,,,,,,,,,,,,,,,,,154,7,311,2
